ticker,yf_symbol
AEFES,AEFES.IS
AGHOL,AGHOL.IS
AKBNK,AKBNK.IS
AKSA,AKSA.IS
AKSEN,AKSEN.IS
ALARK,ALARK.IS
ALTNY,ALTNY.IS
ANSGR,ANSGR.IS
ARCLK,ARCLK.IS
ASELS,ASELS.IS
ASTOR,ASTOR.IS
BALSU,BALSU.IS
BIMAS,BIMAS.IS
BRSAN,BRSAN.IS
BRYAT,BRYAT.IS
BSOKE,BSOKE.IS
BTCIM,BTCIM.IS
CANTE,CANTE.IS
CCOLA,CCOLA.IS
CIMSA,CIMSA.IS
CVKMD,CVKMD.IS
CWENE,CWENE.IS
DAPGM,DAPGM.IS
DOAS,DOAS.IS
DOHOL,DOHOL.IS
DSTKF,DSTKF.IS
ECILC,ECILC.IS
EFOR,EFOR.IS
EKGYO,EKGYO.IS
ENERY,ENERY.IS
ENJSA,ENJSA.IS
ENKAI,ENKAI.IS
EREGL,EREGL.IS
EUPWR,EUPWR.IS
EUREN,EUREN.IS
FENER,FENER.IS
FROTO,FROTO.IS
GARAN,GARAN.IS
GENIL,GENIL.IS
GESAN,GESAN.IS
GLRMK,GLRMK.IS
GRSEL,GRSEL.IS
GRTHO,GRTHO.IS
GSRAY,GSRAY.IS
GUBRF,GUBRF.IS
HALKB,HALKB.IS
HEKTS,HEKTS.IS
ISCTR,ISCTR.IS
ISMEN,ISMEN.IS
IZENR,IZENR.IS
KCHOL,KCHOL.IS
KLRHO,KLRHO.IS
KONTR,KONTR.IS
KRDMD,KRDMD.IS
KTLEV,KTLEV.IS
KUYAS,KUYAS.IS
MAGEN,MAGEN.IS
MAVI,MAVI.IS
MGROS,MGROS.IS
MIATK,MIATK.IS
MPARK,MPARK.IS
OBAMS,OBAMS.IS
ODAS,ODAS.IS
OTKAR,OTKAR.IS
OYAKC,OYAKC.IS
PAHOL,PAHOL.IS
PASEU,PASEU.IS
PATEK,PATEK.IS
PETKM,PETKM.IS
PGSUS,PGSUS.IS
PSGYO,PSGYO.IS
QUAGR,QUAGR.IS
RALYH,RALYH.IS
REEDR,REEDR.IS
SAHOL,SAHOL.IS
SARKY,SARKY.IS
SASA,SASA.IS
SISE,SISE.IS
SKBNK,SKBNK.IS
SOKM,SOKM.IS
TABGD,TABGD.IS
TAVHL,TAVHL.IS
TCELL,TCELL.IS
THYAO,THYAO.IS
TKFEN,TKFEN.IS
TOASO,TOASO.IS
TRALT,TRALT.IS
TRENJ,TRENJ.IS
TRMET,TRMET.IS
TSKB,TSKB.IS
TTKOM,TTKOM.IS
TUKAS,TUKAS.IS
TUPRS,TUPRS.IS
TUREX,TUREX.IS
TURSG,TURSG.IS
ULKER,ULKER.IS
VAKBN,VAKBN.IS
VESTL,VESTL.IS
YKBNK,YKBNK.IS
ZOREN,ZOREN.IS
